from_state,to_state,transition_count,replay_count,player_count,pct_of_all_transitions
67,85,4082,3048,3502,0.0279
201,14,4055,3030,3421,0.0277
27,32,4015,2964,3334,0.0274
28,350,4010,2869,3233,0.0274
44,39,3993,2891,3265,0.0273
38,0,3988,3078,3422,0.0272
86,29,3979,3030,3357,0.0272
63,20,3926,2936,3296,0.0268
63,18,3922,2966,3318,0.0268
227,240,3919,2678,2980,0.0268
186,178,3906,2826,3185,0.0267
50,20,3889,2809,3205,0.0266
20,76,3880,2957,3344,0.0265
20,90,3775,2844,3217,0.0258
182,233,3734,2657,2963,0.0255
39,80,3730,2848,3238,0.0255
57,20,3724,2663,2937,0.0254
73,178,3704,2575,2877,0.0253
70,360,3701,2659,2939,0.0253
200,14,3696,2755,3101,0.0252
18,212,3681,2298,2537,0.0251
20,87,3673,2857,3192,0.0251
89,191,3668,2864,3225,0.025
253,259,3668,2791,3189,0.025
16,39,3662,2794,3142,0.025
220,14,3635,2611,2912,0.0248
90,191,3623,2795,3132,0.0247
244,27,3620,2376,2673,0.0247
197,178,3595,2713,3002,0.0245
216,219,3586,2698,3010,0.0245
43,24,3541,2641,2951,0.0242
73,20,3533,2581,2859,0.0241
29,68,3506,2314,2563,0.0239
200,226,3487,2640,2924,0.0238
67,90,3469,2707,3024,0.0237
25,86,3443,2673,2984,0.0235
364,24,3414,2310,2542,0.0233
182,234,3368,2486,2773,0.023
21,178,3341,2149,2364,0.0228
26,65,3328,2488,2754,0.0227
74,15,3309,2546,2830,0.0226
16,15,3294,2323,2548,0.0225
82,79,3284,2606,2851,0.0224
255,14,3260,2533,2768,0.0223
181,251,3259,2514,2808,0.0223
63,88,3250,2523,2788,0.0222
43,226,3215,2572,2823,0.022
193,194,3189,2584,2831,0.0218
80,24,3188,2514,2829,0.0218
352,35,3181,2620,2860,0.0217
221,20,3179,2325,2555,0.0217
251,252,3162,2453,2716,0.0216
199,88,3158,2425,2639,0.0216
70,15,3151,2432,2671,0.0215
89,199,3143,2525,2802,0.0215
179,235,3118,2406,2654,0.0213
181,24,3116,2396,2647,0.0213
182,235,3093,2379,2628,0.0211
69,85,3090,2246,2692,0.0211
227,239,3065,2361,2612,0.0209
72,360,3065,2375,2624,0.0209
237,238,3053,1739,2612,0.0208
356,87,3050,2449,2664,0.0208
67,88,3041,2339,2684,0.0208
181,180,3017,2381,2632,0.0206
28,252,3016,1870,2006,0.0206
350,352,3004,2231,2437,0.0205
14,88,2996,2431,2676,0.0205
60,14,2981,2274,2513,0.0204
63,15,2951,2384,2568,0.0201
179,226,2939,2307,2551,0.0201
20,226,2936,2376,2615,0.02
358,88,2921,2290,2487,0.0199
21,39,2920,1083,1083,0.0199
27,66,2892,2287,2504,0.0197
184,187,2889,2192,2380,0.0197
184,188,2885,2243,2437,0.0197
233,39,2883,2156,2394,0.0197
50,178,2869,2205,2435,0.0196
39,226,2859,2358,2539,0.0195
221,24,2821,2073,2244,0.0193
193,90,2821,2215,2411,0.0193
233,178,2815,2029,2214,0.0192
16,18,2808,1852,1983,0.0192
244,344,2800,1721,1857,0.0191
25,29,2789,2189,2362,0.019
69,42,2784,2200,2398,0.019
24,344,2774,1681,1779,0.0189
191,192,2739,2204,2399,0.0187
357,178,2724,2172,2394,0.0186
72,88,2724,2241,2449,0.0186
50,15,2715,2105,2297,0.0185
42,90,2687,2146,2356,0.0183
65,89,2686,1986,2392,0.0183
27,365,2674,2068,2241,0.0183
251,42,2669,2164,2390,0.0182
82,88,2656,2207,2389,0.0181
26,365,2641,2129,2324,0.018
74,88,2599,2163,2335,0.0177
358,252,2594,2106,2308,0.0177
85,29,2591,2159,2344,0.0177
65,88,2571,2067,2299,0.0176
212,39,2568,2056,2199,0.0175
25,89,2535,2104,2282,0.0173
201,226,2528,2030,2161,0.0173
187,14,2497,2027,2215,0.017
186,39,2493,1956,2119,0.017
191,194,2475,2005,2172,0.0169
244,236,2464,1543,1656,0.0168
70,88,2442,2025,2191,0.0167
70,16,2431,1867,1995,0.0166
253,257,2429,1948,2113,0.0166
24,226,2425,2051,2200,0.0166
15,56,2423,1768,1889,0.0165
233,18,2421,1824,1977,0.0165
245,18,2418,1680,1764,0.0165
15,178,2413,1905,2053,0.0165
20,79,2412,2028,2199,0.0165
212,76,2412,2041,2198,0.0165
184,189,2408,1976,2123,0.0164
40,80,2401,1945,2094,0.0164
234,178,2391,1877,2023,0.0163
50,88,2378,1968,2106,0.0162
18,63,2375,1912,2065,0.0162
43,17,2352,1535,1623,0.0161
182,180,2351,1659,1790,0.0161
259,14,2344,1942,2129,0.016
90,28,2338,1975,2126,0.016
28,69,2333,1901,2042,0.0159
68,29,2318,1916,2058,0.0158
28,43,2317,1720,1848,0.0158
72,24,2310,1849,1999,0.0158
43,245,2280,1743,1868,0.0156
244,365,2273,1751,1916,0.0155
239,86,2268,1858,1996,0.0155
221,15,2247,1828,1937,0.0153
41,16,2215,1502,1581,0.0151
42,79,2209,1877,2008,0.0151
186,226,2203,1771,1866,0.015
25,90,2203,1874,2021,0.015
90,365,2202,1857,1954,0.015
181,29,2193,1829,1974,0.015
15,182,2177,1735,1843,0.0149
223,241,2176,1406,1490,0.0149
354,88,2167,1860,1968,0.0148
43,90,2155,1811,1951,0.0147
244,65,2147,1485,1589,0.0147
224,225,2145,1274,1350,0.0146
65,90,2140,1833,1950,0.0146
200,90,2138,1772,1891,0.0146
213,217,2115,1507,1591,0.0144
187,90,2114,1782,1894,0.0144
27,88,2111,1812,1951,0.0144
180,235,2109,1760,1901,0.0144
212,87,2104,1830,1940,0.0144
245,20,2101,1752,1853,0.0143
79,90,2089,1722,1867,0.0143
76,178,2087,1796,1925,0.0143
44,15,2085,1691,1815,0.0142
53,14,2080,1686,1820,0.0142
73,15,2078,1683,1796,0.0142
69,88,2064,1763,1877,0.0141
236,35,2061,1781,1900,0.0141
82,42,2054,1740,1886,0.014
24,87,2050,1774,1906,0.014
233,20,2033,1636,1741,0.0139
191,90,2021,1778,1870,0.0138
20,181,2020,1703,1841,0.0138
18,29,2018,1624,1719,0.0138
65,86,2014,1657,1848,0.0138
25,87,2011,1707,1835,0.0137
181,235,2008,1679,1811,0.0137
91,191,1968,1661,1793,0.0134
63,39,1963,1596,1695,0.0134
28,68,1957,1667,1780,0.0134
200,88,1950,1694,1802,0.0133
24,90,1945,1682,1788,0.0133
90,86,1943,1683,1780,0.0133
74,226,1942,1669,1753,0.0133
196,226,1937,1624,1716,0.0132
83,42,1933,1679,1788,0.0132
225,224,1925,1186,1248,0.0131
50,39,1911,1609,1706,0.013
197,226,1906,1595,1674,0.013
350,252,1903,1156,1215,0.013
351,88,1897,1664,1738,0.013
27,85,1894,1655,1762,0.0129
14,226,1887,1644,1745,0.0129
90,91,1887,1649,1760,0.0129
87,200,1882,1636,1729,0.0129
32,354,1868,1602,1696,0.0128
196,178,1863,1579,1682,0.0127
193,29,1856,1616,1716,0.0127
69,89,1843,1611,1715,0.0126
40,20,1839,1330,1396,0.0126
214,215,1830,1579,1662,0.0125
67,86,1825,1540,1681,0.0125
200,39,1824,1544,1636,0.0125
238,14,1824,1272,1632,0.0125
35,43,1819,1563,1679,0.0124
345,14,1819,1041,1098,0.0124
191,197,1819,1553,1664,0.0124
239,88,1810,1555,1650,0.0124
29,66,1804,1554,1640,0.0123
72,226,1795,1549,1643,0.0123
6,7,1795,1603,1706,0.0123
45,39,1791,1429,1527,0.0122
194,226,1780,1535,1616,0.0122
191,196,1780,1562,1653,0.0122
72,90,1776,1549,1639,0.0121
20,77,1776,1542,1644,0.0121
90,6,1773,1587,1687,0.0121
20,89,1772,1573,1662,0.0121
56,88,1764,1548,1627,0.012
181,233,1756,1387,1486,0.012
63,226,1748,1501,1585,0.0119
79,39,1742,1495,1577,0.0119
88,2,1731,1549,1629,0.0118
24,85,1727,1522,1617,0.0118
71,178,1722,1477,1574,0.0118
15,18,1717,1314,1376,0.0117
50,24,1712,1480,1564,0.0117
260,261,1699,1401,1491,0.0116
16,182,1698,1346,1412,0.0116
212,226,1697,1457,1558,0.0116
191,193,1695,1503,1579,0.0116
191,195,1686,1424,1513,0.0115
212,79,1684,1487,1572,0.0115
57,24,1682,1447,1515,0.0115
42,76,1682,1491,1576,0.0115
16,29,1678,1426,1520,0.0115
39,178,1672,1427,1502,0.0114
194,90,1669,1499,1560,0.0114
67,89,1646,1422,1545,0.0112
199,360,1642,1418,1488,0.0112
215,216,1642,1447,1510,0.0112
69,90,1636,1456,1525,0.0112
186,14,1629,1421,1498,0.0111
42,181,1628,1440,1514,0.0111
24,29,1626,1439,1524,0.0111
253,260,1624,1353,1437,0.0111
182,212,1616,1324,1382,0.011
201,90,1614,1424,1499,0.011
219,18,1610,1366,1434,0.011
86,27,1607,1429,1493,0.011
24,76,1607,1428,1505,0.011
14,60,1599,1297,1378,0.0109
181,234,1592,1361,1439,0.0109
71,18,1590,1385,1462,0.0109
196,14,1577,1373,1443,0.0108
82,178,1568,1403,1475,0.0107
43,87,1568,1390,1461,0.0107
57,40,1556,1295,1359,0.0106
20,39,1544,1301,1367,0.0105
39,182,1544,1304,1361,0.0105
219,14,1541,1337,1404,0.0105
235,360,1539,1314,1375,0.0105
56,178,1521,1248,1317,0.0104
7,12,1517,1376,1457,0.0104
220,20,1511,1221,1266,0.0103
245,39,1509,1343,1412,0.0103
88,28,1508,1292,1362,0.0103
234,20,1497,1279,1338,0.0102
90,29,1492,1321,1384,0.0102
88,1,1491,1348,1427,0.0102
45,14,1482,1265,1327,0.0101
28,65,1476,1289,1347,0.0101
187,178,1465,1314,1375,0.01
192,194,1458,1279,1345,0.01
38,252,1457,1292,1365,0.0099
29,88,1453,1320,1378,0.0099
43,79,1453,1270,1358,0.0099
56,39,1452,1253,1297,0.0099
244,66,1447,1180,1252,0.0099
234,39,1444,1243,1303,0.0099
212,20,1442,1286,1337,0.0098
235,88,1441,1268,1337,0.0098
24,66,1436,1269,1334,0.0098
87,201,1425,1261,1327,0.0097
38,67,1424,1250,1307,0.0097
244,28,1420,1169,1241,0.0097
41,18,1415,1218,1270,0.0097
20,60,1412,1218,1270,0.0096
199,20,1405,1246,1298,0.0096
43,360,1403,1226,1283,0.0096
18,39,1401,1240,1308,0.0096
35,252,1390,1243,1304,0.0095
212,90,1383,1235,1295,0.0094
14,90,1370,1237,1292,0.0094
16,178,1365,1146,1198,0.0093
224,240,1362,1156,1194,0.0093
69,86,1362,1227,1277,0.0093
38,28,1358,1217,1275,0.0093
74,24,1358,1194,1242,0.0093
74,29,1348,951,993,0.0092
360,365,1345,1143,1204,0.0092
88,90,1343,1231,1270,0.0092
43,44,1343,1180,1220,0.0092
183,88,1339,1216,1268,0.0091
68,88,1333,1178,1244,0.0091
18,88,1327,1212,1265,0.0091
42,87,1323,1220,1267,0.009
71,39,1318,1183,1237,0.009
245,178,1317,1173,1234,0.009
20,80,1317,1188,1240,0.009
20,233,1313,1167,1212,0.009
14,245,1313,1191,1228,0.009
40,178,1312,1170,1222,0.009
72,29,1309,1130,1184,0.0089
